Exchange,Ticker,Company Name,Description,Website,Logo
NYMEX,HG,copper-futures,"Copper is a metal that has been known all around the world since ancient times. From West Africa to China to Europe to Central and South America, copper has been mined and worked continuously from as far back as 8,700 BC. As one of the few independently occurring metals, copper has been used in a multitude of forms, from prehistoric pendants to modern-day piping and more.As a highly versatile material, copper can conduct electricity and is a necessary trace mineral in all living things. It also possesses the ability to destroy germs on contact. Copper is mined in large open pits, and Chile and the U.S. have extensive reserves that could be exhausted within the next 50 years. The New York Mercantile Exchange (NYMEX), where copper contracts are traded, states that copper is the third most widely used metal in the world.",http://www.cmegroup.com/trading/metals/base/copper_contractSpecs_futures.html,
NYMEX,QC,copper-miny-futures,"Copper is a chemical element with symbol Cu (from Latin: cuprum) and atomic number 29. It is a soft, malleable and ductile metal with very high thermal and electrical conductivity. A freshly exposed surface of pure copper has a reddish-orange color. It is used as a conductor of heat and electricity, as a building material and as a constituent of various metal alloys, such as sterling silver used in jewelry, cupronickel used to make marine hardware and coins and constantan used in strain gauges and thermocouples for temperature measurement.Copper is found as a pure metal in nature, and this was the first source of the metal to be used by humans, c. 8000 BC. It was the first metal to be smelted from its ore, c. 5000 BC, the first metal to be cast into a shape in a mold, c. 4000 BC and the first metal to be purposefully alloyed with another metal, tin, to create bronze, c. 3,500 BC.",http://www.cmegroup.com/trading/metals/base/emini-copper_contractSpecs_futures.html,
NYMEX,QO,miny-gold-futures,"Gold is a chemical element with the symbol Au (from Latin: aurum) and the atomic number 79. In its purest form, it is a bright, slightly reddish yellow, dense, soft, malleable and ductile metal. Chemically, gold is a transition metal and a group 11 element. It is one of the least reactive chemical elements, and is solid under standard conditions. The metal therefore occurs often in free elemental (native) form, as nuggets or grains, in rocks, in veins and in alluvial deposits. It occurs in a solid solution series with the native element silver (as electrum) and also naturally alloyed with copper and palladium. Less commonly, it occurs in minerals as gold compounds, often with tellurium (gold tellurides).Gold's atomic number of 79 makes it one of the higher atomic number elements that occur naturally in the universe. It is thought to have been produced in supernova nucleosynthesis and from the collision of neutron stars[4] and to have been present in the dust from which the Solar System formed. Because the Earth was molten when it was just formed, almost all of the gold present in the early Earth probably sank into the planetary core. Therefore, most of the gold that is present today in the Earth's crust and mantle is thought to have been delivered to Earth later, by asteroid impacts during the Late Heavy Bombardment, about 4 billion years ago.",http://www.cmegroup.com/trading/metals/precious/e-mini-gold_contractSpecs_futures.html,
NYMEX,PA,palladium-futures,"Palladium is one of the rarest metals on earth, about 15 times more rare than platinum and 30 times more rare than gold. Belonging to the platinum group of metals, around 80% of the world's palladium production comes from two countries: Russia and South Africa. In fact, Russia alone accounts for roughly half of the world's production, which is estimated to be 200,000 ounces per year. This can create cause for concern as any decrease in exports from these countries can contribute to volatility in palladium prices.In comparison to platinum, palladium shares similar chemical properties but is less dense and has a lower melting point.",http://www.cmegroup.com/trading/metals/precious/palladium_contract_specifications.html?optionExpiration=U7,
NYMEX,PL,platinum-futures,"Platinum's metallic properties make it highly attractive in a variety of commercial and industrial applications. It has a high resistance to temperature and does not oxidize in air, although it is corroded by halogens, cyanides, sulfur and caustic alkalis. What's more, it is also non-reactive to chemical attack and has excellent electrical properties.",https://www.cmegroup.com/trading/metals/precious/platinum_contract_specifications.html,
NYMEX,QI,silver-miny-futures,"Silver is the metallic element with the atomic number 47. Its symbol is Ag, from the Latin argentum, derived from the Greek ὰργὀς (literally ""shiny"" or ""white""), and ultimately from a Proto-Indo-European language root reconstructed as *h2erǵ-, ""grey"" or ""shining"". A soft, white, lustrous transition metal, it exhibits the highest electrical conductivity, thermal conductivity, and reflectivity of any metal. The metal is found in the Earth's crust in the pure, free elemental form (""native silver""), as an alloy with gold and other metals, and in minerals such as argentite and chlorargyrite. Most silver is produced as a byproduct of copper, gold, lead, and zinc refining.Silver has long been valued as a precious metal. Silver metal is used in many premodern monetary systems in bullion coins, sometimes alongside gold: while it is more abundant than gold, it is much less abundant as a native metal. Its purity is typically measured on a per-mille basis; a 94%-pure alloy is described as ""0.940 fine"". As one of the seven metals of antiquity, silver has had an enduring role in most human cultures.",http://www.cmegroup.com/trading/metals/precious/silver_contractSpecs_futures.html,
NYMEX,UX,uranium-futures,Uranium futures are traded on the New York Mercantile Exchange under ticker symbol UX in U.S. dollars and cents per pound.,http://www.cmegroup.com/trading/metals/other/uranium_contractSpecs_futures.html,
CME,DB,butter-futures,"Butter futures reflect cash market supply, demand and cold storage stocks fundamental information, and offer spread trade opportunities as butter is placed in storage for the holiday (seasonal) demand period. Butter futures contracts offer both hedgers and traders a storable product to trade. Storable contracts create spreading opportunities between deliverable contract months. As the supply and demand for the cash product changes, the need arises for the butter industry to store product or take product out of storage. This movement creates pricing relationship differences between the nearest contract month and the most distant ones.",http://www.cmegroup.com/trading/agricultural/dairy/cash-settled-butter_contractSpecs_futures.html,
CME,DA,dairy,CME Group Dairy contracts provide participants of the $48 billion U.S. dairy business a useful tool in managing the price risks inherent to this industry. This fact card provides a quick overview of who uses these contracts and why. It also provides the contract specifications you need to start trading.,http://www.cmegroup.com/trading/agricultural/dairy-fact-card.html,https://upload.wikimedia.org/wikipedia/en/b/bb/Cme-group-logo.PNG
CME,DY,dry-whey-futures,"Dry Whey futures are cash-settled futures that are traded exclusively on the CME Globex electronic trading platform. Whey is the liquid that separates from milk during the cheesemaking process. Dried whey, which is high in protein and low in fat, is used in foods such as crackers, breads and cereal, as well as energy bars and protein drinks. It is also used in animal feed. Contract settlement is pegged to the USDA monthly weighted average price in the United States for dry whey as first released.The contract provides price volatility, price transparency and growing liquidity, as well as innumerable choices for spreading.",http://www.cmegroup.com/trading/agricultural/dairy/dry-whey.html,
CME,GF,feeder-cattle-futures,"Feeder cattle are weaned calves that have been raised to a certain weight and then sent to feedlots to be fattened before they are slaughtered. On average, three to four months is required to fatten the cattle from a starting weight of 600-800 pounds to the desired finished weight of 1,000-1,300 pounds.Raising cattle for beef consumption occurs throughout the world. Roughly 1.3 billion heads of cattle are currently being raised worldwide, with no decrease in sight. The number of cattle brought into feedlots provides the best estimation of whether the near future will produce a glut or a shortage of live cattle.",http://www.cmegroup.com/trading/agricultural/livestock/feeder-cattle_contract_specifications.html?exchange=CEE&sector=FX&clearingCode=,
CME,LH,lean-hogs-futures,"Lean Hog is a type of hog (pork) that can be easily traded in mercantile and option exchanges. This type of hog is the source of the majority of the pork meat in the US.Lean Hog futures and options are traded on the Chicago Mercantile Exchange (CME). The contracts are for 40,000 pounds of Lean Hogs, and call for cash settlement based on the lean hog index. The lean hog index is a two-day weighted average of cash markets.",https://www.cmegroup.com/trading/agricultural/livestock/lean-hogs_contract_specifications.html?exchange=&sector=EQUITY+INDEX&clearingCode=GI,
CME,NF,nonfat-dry-milk-futures,"Nonfat dry milk is a product of the manufacturing of butter; it can be stored, used in various feed and food sources and/or reconstituted into milk. Nonfat Dry Milk futures contracts broaden the scope for dairy industry trading as the product readily trades worldwide.",http://www.cmegroup.com/trading/agricultural/dairy/nonfat-dry-milk_contract_specifications.html,
NYBOT,CT,cotton-futures,Contract calls for physical delivery of cotton of certain minimum standards of basis grade and staple length.,https://www.theice.com/products/254/Cotton-No-2-Futures,https://www.rithmic.com/images/logo_nybot.gif
CME,LB,lumber-futures,"The standardization of lumber in the U.S. can be directly traced back to the first and second World Wars. While logging had endured for centuries, it was not until World War I that standard lumber sizes were instituted. The significant amount of lumber that was required during World War II solidified the acceptance of standardized sizes because it provided an efficient way for mills and lumber purchasers to meet each other's needs while being separated by thousands of miles.Although lumber has many versatile uses, it is constantly subjected to changing consumer interests, shifts in manufacturing facilities and housing downturns. This leaves the industry in a constant state of panic because it is forced to be reactionary to various factors outside of its control. To protect the lumber industry from the volatile price swings that this uncertainty brings, the Chicago Mercantile Exchange (CME) developed the first lumber commodities contract in 1969.",http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/oats_contractSpecs_options.html?optionProductId=2499#optionProductId=2499,
ICE,OJ,orange-juice-futures,"For 4,000 years, oranges have grown in Southeast Asia and China. The orange made its way to Europe during the Moorish occupation of Spain, eventually arriving in the New World. From these humble beginnings, a thriving orange industry has developed in both the U.S. and Brazil.Prior to 1947, the traditional form of consumption for orange juice was fresh-squeezed; therefore, the commercial orange juice industry was constantly contending with the highly perishable nature of freshly squeezed oranges. Often, supply shocks were both quick and severe. The invention of frozen concentrated orange juice (FCOJ) in 1947 brought a new standard to the orange juice industry, opening the gates to an international marketplace that was not readily available before.Until 1962, Florida dominated the orange juice export market. However, because of severe freezes and hurricanes throughout the years, it has been overtaken by Brazil, the world's leading FCOJ exporter in 2009. In the last 30 years, Brazil's dominance in the international market has become so complete that it represents 80% of all global exports. Brazil even supplies the U.S. with 30-50% of its orange juice.",https://www.theice.com/products/30/specs,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Ice_logo.svg/1024px-Ice_logo.svg.png
